inst#     actual  predicted error prediction
        1        1:?    1:unacc       1 
        2        1:?    1:unacc       0.999 
        3        1:?    1:unacc       0.999 
        4        1:?    1:unacc       1 
        5        1:?    1:unacc       0.998 
        6        1:?    1:unacc       0.741 
        7        1:?    1:unacc       0.998 
        8        1:?    1:unacc       0.574 
        9        1:?    1:unacc       0.638 
       10        1:?    1:unacc       0.999 
       11        1:?    1:unacc       0.679 
       12        1:?    1:unacc       0.683 
       13        1:?    1:unacc       0.998 
       14        1:?    1:unacc       0.564 
       15        1:?    1:unacc       0.999 
       16        1:?    1:unacc       1 
       17        1:?    1:unacc       0.997 
       18        1:?    1:unacc       0.998 
       19        1:?    1:unacc       0.998 
       20        1:?    1:unacc       0.598 
       21        1:?    1:unacc       0.603 
       22        1:?    1:unacc       0.997 
       23        1:?      2:acc       0.521 
       24        1:?    1:unacc       0.704 
       25        1:?    1:unacc       0.998 
       26        1:?    1:unacc       0.528 
       27        1:?    1:unacc       0.594 
       28        1:?    1:unacc       1 
       29        1:?    1:unacc       0.998 
       30        1:?    1:unacc       0.998 
       31        1:?    1:unacc       1 
       32        1:?    1:unacc       0.997 
       33        1:?    1:unacc       0.674 
       34        1:?    1:unacc       0.998 
       35        1:?      2:acc       0.506 
       36        1:?    1:unacc       0.56 
       37        1:?    1:unacc       0.998 
       38        1:?    1:unacc       0.604 
       39        1:?    1:unacc       0.609 
       40        1:?    1:unacc       0.997 
       41        1:?      2:acc       0.514 
       42        1:?    1:unacc       0.999 
       43        1:?    1:unacc       1 
       44        1:?    1:unacc       0.997 
       45        1:?    1:unacc       0.998 
       46        1:?    1:unacc       0.998 
       47        1:?    1:unacc       0.587 
       48        1:?    1:unacc       0.592 
       49        1:?    1:unacc       0.997 
       50        1:?      2:acc       0.532 
       51        1:?    1:unacc       0.694 
       52        1:?    1:unacc       0.998 
       53        1:?    1:unacc       0.516 
       54        1:?    1:unacc       0.583 
       55        1:?    1:unacc       1 
       56        1:?    1:unacc       0.998 
       57        1:?    1:unacc       0.998 
       58        1:?    1:unacc       1 
       59        1:?    1:unacc       0.996 
       60        1:?    1:unacc       0.626 
       61        1:?    1:unacc       0.997 
       62        1:?      2:acc       0.553 
       63        1:?    1:unacc       0.508 
       64        1:?    1:unacc       0.998 
       65        1:?    1:unacc       0.553 
       66        1:?    1:unacc       0.558 
       67        1:?    1:unacc       0.997 
       68        1:?      2:acc       0.557 
       69        1:?    1:unacc       0.998 
       70        1:?    1:unacc       1 
       71        1:?    1:unacc       0.995 
       72        1:?    1:unacc       0.997 
       73        1:?    1:unacc       0.997 
       74        1:?      2:acc       0.534 
       75        1:?      2:acc       0.529 
       76        1:?    1:unacc       0.995 
       77        1:?      2:acc       0.638 
       78        1:?    1:unacc       0.582 
       79        1:?    1:unacc       0.996 
       80        1:?      2:acc       0.595 
       81        1:?      2:acc       0.538 
       82        1:?    1:unacc       1 
       83        1:?    1:unacc       0.997 
       84        1:?    1:unacc       0.997 
       85        1:?    1:unacc       1 
       86        1:?    1:unacc       0.993 
       87        1:?    1:unacc       0.547 
       88        1:?    1:unacc       0.996 
       89        1:?      2:acc       0.626 
       90        1:?      2:acc       0.573 
       91        1:?    1:unacc       0.997 
       92        1:?      2:acc       0.528 
       93        1:?      2:acc       0.523 
       94        1:?    1:unacc       0.995 
       95        1:?      2:acc       0.626 
       96        1:?    1:unacc       0.998 
       97        1:?    1:unacc       1 
       98        1:?    1:unacc       0.995 
       99        1:?    1:unacc       0.996 
      100        1:?    1:unacc       0.997 
      101        1:?      2:acc       0.545 
      102        1:?      2:acc       0.54 
      103        1:?    1:unacc       0.995 
      104        1:?      2:acc       0.645 
      105        1:?    1:unacc       0.571 
      106        1:?    1:unacc       0.996 
      107        1:?      2:acc       0.603 
      108        1:?      2:acc       0.549 
      109        1:?    1:unacc       1 
      110        1:?    1:unacc       0.997 
      111        1:?    1:unacc       0.997 
      112        1:?    1:unacc       1 
      113        1:?    1:unacc       0.994 
      114        1:?    1:unacc       0.608 
      115        1:?    1:unacc       0.996 
      116        1:?      2:acc       0.553 
      117        1:?      2:acc       0.497 
      118        1:?    1:unacc       0.998 
      119        1:?    1:unacc       0.536 
      120        1:?    1:unacc       0.54 
      121        1:?    1:unacc       0.996 
      122        1:?      2:acc       0.553 
      123        1:?    1:unacc       0.997 
      124        1:?    1:unacc       1 
      125        1:?    1:unacc       0.994 
      126        1:?    1:unacc       0.996 
      127        1:?    1:unacc       0.997 
      128        1:?      2:acc       0.54 
      129        1:?      2:acc       0.534 
      130        1:?    1:unacc       0.994 
      131        1:?      2:acc       0.629 
      132        1:?    1:unacc       0.564 
      133        1:?    1:unacc       0.995 
      134        1:?      2:acc       0.591 
      135        1:?      2:acc       0.543 
      136        1:?    1:unacc       1 
      137        1:?    1:unacc       0.996 
      138        1:?    1:unacc       0.996 
      139        1:?    1:unacc       1 
      140        1:?    1:unacc       0.991 
      141        1:?    1:unacc       0.529 
      142        1:?    1:unacc       0.995 
      143        1:?      2:acc       0.62 
      144        1:?      2:acc       0.577 
      145        1:?    1:unacc       0.997 
      146        1:?      2:acc       0.534 
      147        1:?      2:acc       0.528 
      148        1:?    1:unacc       0.994 
      149        1:?      2:acc       0.611 
      150        1:?    1:unacc       0.997 
      151        1:?    1:unacc       1 
      152        1:?    1:unacc       0.993 
      153        1:?    1:unacc       0.996 
      154        1:?    1:unacc       0.997 
      155        1:?      2:acc       0.551 
      156        1:?      2:acc       0.545 
      157        1:?    1:unacc       0.994 
      158        1:?      2:acc       0.631 
      159        1:?    1:unacc       0.552 
      160        1:?    1:unacc       0.995 
      161        1:?      2:acc       0.596 
      162        1:?      2:acc       0.554 
      163        1:?    1:unacc       1 
      164        1:?    1:unacc       0.997 
      165        1:?    1:unacc       0.997 
      166        1:?    1:unacc       1 
      167        1:?    1:unacc       0.995 
      168        1:?    1:unacc       0.647 
      169        1:?    1:unacc       0.997 
      170        1:?      2:acc       0.501 
      171        1:?    1:unacc       0.532 
      172        1:?    1:unacc       0.998 
      173        1:?    1:unacc       0.579 
