inst#     actual  predicted error prediction
        1        1:?    1:unacc       1 
        2        1:?    1:unacc       1 
        3        1:?    1:unacc       1 
        4        1:?    1:unacc       1 
        5        1:?    1:unacc       1 
        6        1:?    1:unacc       0.714 
        7        1:?    1:unacc       1 
        8        1:?    1:unacc       1 
        9        1:?    1:unacc       0.714 
       10        1:?    1:unacc       1 
       11        1:?    1:unacc       1 
       12        1:?    1:unacc       1 
       13        1:?    1:unacc       1 
       14        1:?    1:unacc       1 
       15        1:?    1:unacc       1 
       16        1:?    1:unacc       1 
       17        1:?    1:unacc       1 
       18        1:?    1:unacc       1 
       19        1:?    1:unacc       1 
       20        1:?    1:unacc       1 
       21        1:?    1:unacc       0.714 
       22        1:?    1:unacc       1 
       23        1:?    1:unacc       1 
       24        1:?    1:unacc       1 
       25        1:?    1:unacc       1 
       26        1:?    1:unacc       1 
       27        1:?    1:unacc       1 
       28        1:?    1:unacc       1 
       29        1:?    1:unacc       1 
       30        1:?    1:unacc       1 
       31        1:?    1:unacc       1 
       32        1:?    1:unacc       1 
       33        1:?    1:unacc       0.714 
       34        1:?    1:unacc       1 
       35        1:?    1:unacc       1 
       36        1:?    1:unacc       0.714 
       37        1:?    1:unacc       1 
       38        1:?    1:unacc       1 
       39        1:?    1:unacc       1 
       40        1:?    1:unacc       1 
       41        1:?    1:unacc       1 
       42        1:?    1:unacc       1 
       43        1:?    1:unacc       1 
       44        1:?    1:unacc       1 
       45        1:?    1:unacc       1 
       46        1:?    1:unacc       1 
       47        1:?    1:unacc       1 
       48        1:?    1:unacc       0.714 
       49        1:?    1:unacc       1 
       50        1:?    1:unacc       1 
       51        1:?    1:unacc       1 
       52        1:?    1:unacc       1 
       53        1:?    1:unacc       1 
       54        1:?    1:unacc       1 
       55        1:?    1:unacc       1 
       56        1:?    1:unacc       1 
       57        1:?    1:unacc       1 
       58        1:?    1:unacc       1 
       59        1:?    1:unacc       1 
       60        1:?    1:unacc       0.714 
       61        1:?    1:unacc       1 
       62        1:?    1:unacc       1 
       63        1:?    1:unacc       0.714 
       64        1:?    1:unacc       1 
       65        1:?    1:unacc       1 
       66        1:?      2:acc       0.714 
       67        1:?    1:unacc       1 
       68        1:?    1:unacc       1 
       69        1:?    1:unacc       1 
       70        1:?    1:unacc       1 
       71        1:?    1:unacc       1 
       72        1:?    1:unacc       1 
       73        1:?    1:unacc       1 
       74        1:?    1:unacc       1 
       75        1:?    1:unacc       0.714 
       76        1:?    1:unacc       1 
       77        1:?    1:unacc       1 
       78        1:?    1:unacc       1 
       79        1:?    1:unacc       1 
       80        1:?    1:unacc       1 
       81        1:?      2:acc       0.857 
       82        1:?    1:unacc       1 
       83        1:?    1:unacc       1 
       84        1:?    1:unacc       1 
       85        1:?    1:unacc       1 
       86        1:?    1:unacc       1 
       87        1:?    1:unacc       0.714 
       88        1:?    1:unacc       1 
       89        1:?    1:unacc       1 
       90        1:?    1:unacc       0.714 
       91        1:?    1:unacc       1 
       92        1:?    1:unacc       1 
       93        1:?      2:acc       0.714 
       94        1:?    1:unacc       1 
       95        1:?    1:unacc       1 
       96        1:?    1:unacc       1 
       97        1:?    1:unacc       1 
       98        1:?    1:unacc       1 
       99        1:?    1:unacc       1 
      100        1:?    1:unacc       1 
      101        1:?    1:unacc       1 
      102        1:?    1:unacc       0.714 
